time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
36.1,human_1,587.5136832542302,-4.8,27.80513692826674,649.7946517717406,ego_0,0.2627547970660741,0.2627547970660741,0.2627547970660741,0.2627547970660741,0.2601532644218807,0,highway_0,2,587.5136832542302,587.5136832542302,,0.0170600051121248
36.2,human_1,590.2967711389726,-4.8,27.830878847424504,649.7963603857181,ego_0,0.2599933834933874,0.2599933834933874,0.2599933834933874,0.2599933834933874,0.2574191915776325,0,highway_0,2,590.2967711389726,590.2967711389726,,0.017086139774601605
36.3,human_1,593.0824060866643,-4.8,27.856349476915852,649.7980715706809,ego_0,0.25725335786261866,0.25725335786261866,0.25725335786261866,0.25725335786261866,0.2547062949134826,0,highway_0,2,593.0824060866643,593.0824060866643,,0.017111849627276854
36.4,human_1,595.8705611801175,-4.8,27.88155093453251,649.7997852845414,ego_0,0.25453472192823884,0.25453472192823884,0.25453472192823884,0.25453472192823884,0.252014576166566,0,highway_0,2,595.8705611801175,595.8705611801175,,0.01713713860561228
36.5,human_1,598.6612097139002,-4.8,27.906485337826485,649.801501485608,ego_0,0.2518374732691802,0.2518374732691802,0.2518374732691802,0.2518374732691802,0.24934403293976004,0,highway_0,2,598.6612097139002,598.6612097139002,,0.017162010666435634
36.6,human_1,601.4543251942706,-4.8,27.93115480370428,649.8032201325867,ego_0,0.2491616053657297,0.2491616053657297,0.2491616053657297,0.2491616053657297,0.2466946587779617,0,highway_0,2,601.4543251942706,601.4543251942706,,0.01718646978616789
36.7,human_1,604.2498813390735,-4.8,27.955561448028703,649.8049411845827,ego_0,0.24650710767667453,0.24650710767667453,0.24650710767667453,0.24650710767667453,0.2440664432442219,0,highway_0,2,604.2498813390735,604.2498813390735,,0.01721051995910372
36.8,human_1,607.0478520775963,-4.8,27.979707385228373,649.8066646011024,ego_0,0.2438739657166443,0.2438739657166443,0.2438739657166443,0.2438739657166443,0.24145937199669731,0,highway_0,2,607.0478520775963,607.0478520775963,,0.017234165195667117
36.9,human_1,609.8482115503878,-4.8,28.003594727914866,649.8083903420545,ego_0,0.24126216113359372,0.24126216113359372,0.24126216113359372,0.24126216113359372,0.2388734268649273,0,highway_0,2,609.8482115503878,609.8482115503878,,0.017257409520766487
37.0,human_1,612.6509341090385,-4.8,28.027225586507576,649.8101183677517,ego_0,0.23867167178637447,0.23867167178637447,0.23867167178637447,0.23867167178637447,0.23630858592710524,0,highway_0,2,612.6509341090385,612.6509341090385,,0.017280256972114216
