time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
4.6,ego_0,426.10155372035734,-8.0,23.692599096221223,1000.0,,0.6149690384138112,0.6149690384138112,0.6149690384138112,0.6149690384138112,0.6088802360532597,0,highway_0,1,102.10155372035734,426.10155372035734,,-1024.6925990962213
4.7,ego_0,428.47686299123404,-8.0,23.753092708767106,1000.0,,0.6109854867134349,0.6109854867134349,0.6109854867134349,0.6109854867134349,0.6049361254588348,0,highway_0,1,104.47686299123404,428.47686299123404,,-1024.753092708767
4.8,ego_0,430.85818213545167,-8.0,23.81319144217637,1000.0,,0.6069972074335914,0.6069972074335914,0.6069972074335914,0.6069972074335914,0.6009873340926575,0,highway_0,1,106.85818213545167,430.85818213545167,,-1024.8131914421763
4.9,ego_0,433.24547162296585,-8.0,23.872894875141753,1000.0,,0.6030046729503595,0.6030046729503595,0.6030046729503595,0.6030046729503595,0.5970343296538161,0,highway_0,1,109.24547162296585,433.24547162296585,,-1024.8728948751418
5.0,ego_0,435.6386918862741,-8.0,23.93220263308251,1000.0,,0.5990083552016434,0.5990083552016434,0.5990083552016434,0.5990083552016434,0.5930775794075771,0,highway_0,1,111.6386918862741,435.6386918862741,,-1024.9322026330824
5.1,ego_0,438.03780332508234,-8.0,23.991114388082053,1000.0,,0.5950087254953766,0.5950087254953766,0.5950087254953766,0.5950087254953766,0.5891175499954215,0,highway_0,1,114.03780332508234,438.03780332508234,,-1024.991114388082
5.2,ego_0,440.442766310963,-8.0,24.049629858806732,1000.0,,0.5910062543192485,0.5910062543192485,0.5910062543192485,0.5910062543192485,0.5851547072467866,0,highway_0,1,116.44276631096301,440.442766310963,,-1025.0496298588068
5.3,ego_0,442.8535411920036,-8.0,24.10774881040595,1000.0,,0.5870014111520969,0.5870014111520969,0.5870014111520969,0.5870014111520969,0.5811895159921932,0,highway_0,1,118.8535411920036,442.8535411920036,,-1025.107748810406
5.4,ego_0,445.270088297443,-8.0,24.165471054393784,1000.0,,0.5829946642771144,0.5829946642771144,0.5829946642771144,0.5829946642771144,0.5772224398783266,0,highway_0,1,121.27008829744301,445.270088297443,,-1025.1654710543937
5.5,ego_0,447.69236794229425,-8.0,24.222796448512298,1000.0,,0.5789864805969975,0.5789864805969975,0.5789864805969975,0.5789864805969975,0.5732539411851434,0,highway_0,1,123.69236794229425,447.69236794229425,,-1025.2227964485123
5.6,ego_0,450.1203404319519,-8.0,24.279724896576774,1000.0,,0.5749773254511784,0.5749773254511784,0.5749773254511784,0.5749773254511784,0.5692844806447539,0,highway_0,1,126.12034043195194,450.12034043195194,,-1025.2797248965767
5.7,ego_0,452.5539660667823,-8.0,24.33625634830304,1000.0,,0.570967662435272,0.570967662435272,0.570967662435272,0.570967662435272,0.5653145172626495,0,highway_0,1,128.55396606678227,452.55396606678227,,-1025.336256348303
5.8,ego_0,454.993205146694,-8.0,24.392390799117184,1000.0,,0.5669579532228624,0.5669579532228624,0.5669579532228624,0.5669579532228624,0.5613445081414525,0,highway_0,1,130.99320514669398,454.993205146694,,-1025.3923907991173
5.9,ego_0,457.4380179756887,-8.0,24.448128289947853,1000.0,,0.5629486573897564,0.5629486573897564,0.5629486573897564,0.5629486573897564,0.5573749083066915,0,highway_0,1,133.43801797568875,457.43801797568875,,-1025.4481282899478
6.0,ego_0,459.88836486638894,-8.0,24.5034689070014,1000.0,,0.558940232240822,0.558940232240822,0.558940232240822,0.558940232240822,0.5534061705354532,0,highway_0,1,135.88836486638888,459.8883648663889,,-1025.5034689070014
